정이름.엄마	정.이.름.엄.마
잠 와	잠.와
졸려	졸.려
물 좀 마실까 이름이	물.좀.마.실.까.이.름.이
물.물 마시자 엄마 가방에 물 있어	물.물.마.시.자.엄.마.가.방.에.물.있.어
어.엄마가 과자 과자를 안 갖고 왔네	어.엄.마.가.과.자.과.자.를.안.갖.고.왔.네
어.물 줄게.잠깐만 이거 단추 잠그고	어.물.줄.게.잠.깐.만.이.거.단.추.잠.그.고
단추 또 떨어졌어	단.추.또.떨.어.졌.어
하하	하.하
가 보자.가방	가.보.자.가.방
자.이름이 가방	자.이.름.이.가.방
물	물
자.오빠야 색연필 갖고 놀까	자.오.빠.야.색.연.필.갖.고.놀.까
종이가 없지	종.이.가.없.지
종이가 없네	종.이.가.없.네
여기다 그리자	여.기.다.그.리.자
물 마시고	물.마.시.고
자.물.아	자.물.아
엄마 뺏어 먹어	엄.마.뺏.어.먹.어
뺏어 먹어	뺏.어.먹.어
앉아 봐	앉.아.봐
색연필 꺼내 줄게 엄마가	색.연.필.꺼.내.줄.게.엄.마.가
이거	이.거
자 저쪽에 컴퓨터쪽 보지 말고	자.저.쪽.에.컴.퓨.터.쪽.보.지.말.고
자.어.이거 어떡하지	자.어.이.거.어.떡.하.지
이거 어저께 만든 거랑 똑같애	이.거.어.저.께.만.든.거.랑.똑.같.애
응 무슨 색깔 할 거야	응.무.슨.색.깔.할.거.야
그려 봐 여기다가	그.려.봐.여.기.다.가
그려 봐	그.려.봐
여기 놔둘게 먹어	여.기.놔.둘.게.먹.어
자 이거 이렇게 해야지 이름아	자.이.거.이.렇.게.해.야.지.이.름.아
자.사랑해요	자.사.랑.해.요
이름이 사랑해요 그려 봐	이.름.이.사.랑.해.요.그.려.봐
칠해 봐	칠.해.봐
괜찮아 언니 거니까.오빠한테 오 안 혼나	괜.찮.아.언.니.거.니.까.오.빠.한.테.오.안.혼.나
이거는 언니 거야 괜찮아.해도 돼	이.거.는.언.니.거.야.괜.찮.아.해.도.돼
우와 잘했다	우.와.잘.했.다
우와	우.와
예쁘게 그거 잡아야지	예.쁘.게.그.거.잡.아.야.지
예쁘게	예.쁘.게
응	응
응	응
닫아 봐.뚜껑	닫.아.봐.뚜.껑
어이고	어.이.고
어이고	어.이.고
어이고	어.이.고
어이고	어.이.고
어이고	어.이.고
으응	으.응
뚜껑 열려 있는데 그걸 입으로 빨면 어떡해 아가씨야	뚜.껑.열.려.있.는.데.그.걸.입.으.로.빨.면.어.떡.해.아.가.씨.야
안 돼	안.돼
안 돼 그러면	안.돼.그.러.면
자	자
닦아 줄게	닦.아.줄.게
자 여기	자.여.기
싫어	싫.어
싫어	싫.어
이거 안 할 거야	이.거.안.할.거.야
이름이 이거 할까	이.름.이.이.거.할.까
어 엄마다 또	어.엄.마.다.또
어 시간이 벌써 이렇게 돼 버렸어	어.시.간.이.벌.써.이.렇.게.돼.버.렸.어
어.왜 이래	어.왜.이.래
어떡해 핸드폰이 가 버렸어.맛이 가 버렸어	어.떡.해.핸.드.폰.이.가.버.렸.어.맛.이.가.버.렸.어
그거 너 가져.그거 엄마 거.이거 이름이 거	그.거.너.가.져.그.거.엄.마.거.이.거.이.름.이.거
이거 쓰레기는 어떻게 하지	이.거.쓰.레.기.는.어.떻.게.하.지
쓰레기통에 버려야	쓰.레.기.통.에.버.려.야
또 이제 가방 뒤질 거지	또.이.제.가.방.뒤.질.거.지
이름이 없다.자	이.름.이.없.다.자
그거 엄마 쓰레기	그.거.엄.마.쓰.레.기
어	어
이거 엄마 껍질 버리면 안 돼	이.거.엄.마.껍.질.버.리.면.안.돼
어 핸드폰이 왜 온도가 높다고 나오지	어.핸.드.폰.이.왜.온.도.가.높.다.고.나.오.지
응	응
어	어
이름아	이.름.아
어떡할 거야	어.떡.할.거.야
이름이 어떡할 거야	이.름.이.어.떡.할.거.야
자.엄마 지갑도.자	자.엄.마.지.갑.도.자
자.여기	자.여.기
그 대신에 잘 잘 하고 넣어야 돼	그.대.신.에.잘.잘.하.고.넣.어.야.돼
어	어
한 개씩 꺼내고 다시 집어 넣을 수 있어	한.개.씩.꺼.내.고.다.시.집.어.넣.을.수.있.어
보자	보.자
어.잠깐만	어.잠.깐.만
싫어	싫.어
여기서는 안 돼	여.기.서.는.안.돼
안 돼	안.돼
안 돼	안.돼
어.누구지	어.누.구.지
누구지	누.구.지
응	응
왜 이모는 맨날 바빠 왜 이렇게	왜.이.모.는.맨.날.바.빠.왜.이.렇.게
응	응
아야 아야	아.야.아.야
그만 갖고 놀아	그.만.갖.고.놀.아
정리하자 이제	정.리.하.자.이.제
이름아 정리하자	이.름.아.정.리.하.자
정리하자	정.리.하.자
정리할까	정.리.할.까
어	어
어	어
어	어
어	어
어	어
다 이모들이 바쁘네	다.이.모.들.이.바.쁘.네
오전 스케줄이 많으셔 가지고	오.전.스.케.줄.이.많.으.셔.가.지.고
앙	앙
물 마셔	물.마.셔
물 조금 마시고	물.조.금.마.시.고
물 조금 마시고	물.조.금.마.시.고
여보세	여.보.세
아	아
자.이름이	자.이.름.이
응	응
이름아 이름아 어이고 혼자 노느라고	이.름.아.이.름.아.어.이.고.혼.자.노.느.라.고
응.응	응.응
이게 뭐야	이.게.뭐.야
이게 뭐야	이.게.뭐.야
이름이가 좋아할 만한 장난감이 엄청 많네 	이.름.이.가.좋.아.할.만.한.장.난.감.이.엄.청.많.네..
우와 여기에 누가 타고 있어	우.와.여.기.에.누.가.타.고.있.어
어.새.새도 있다	어.새.새.도.있.다
새	새
응.새야	응.새.야
어.콧수염 난 아저씨	어.콧.수.염.난.아.저.씨
아저씨 	아.저.씨..
이거는 학생인가	이.거.는.학.생.인.가
얘는 또 누구야	얘.는.또.누.구.야
오잉.선글라스	오.잉.선.글.라.스
엄마 아빠 예전에 이렇게 눈에다가 꼈던 거 있지	엄.마.아.빠.예.전.에.이.렇.게.눈.에.다.가.꼈.던.거.있.지
너 엄마 모자 벗기려고 하면 곤란한데	너.엄.마.모.자.벗.기.려.고.하.면.곤.란.한.데
응.엄마 모자 쓰고 있지	응.엄.마.모.자.쓰.고.있.지
어.언제 이거 또 풀었니	어.언.제.이.거.또.풀.었.니
풀어졌어요	풀.어.졌.어.요
딴 거 태워 볼까	딴.거.태.워.볼.까
어.여기도 이 아저씨도 타세요	어.여.기.도.이.아.저.씨.도.타.세.요
걔도 타세요	걔.도.타.세.요
응	응
응	응
응.고마워	응.고.마.워
고마워	고.마.워
고마워요	고.마.워.요
자.자	자.자
응	응
아저씨 또 태워 줄까	아.저.씨.또.태.워.줄.까
어	어
응	응
어	어
앵무새 원숭이도 태우고.노란 옷 입은 사람도 태워 주고	앵.무.새.원.숭.이.도.태.우.고.노.란.옷.입.은.사.람.도.태.워.주.고
응.또 딴 거 할 까	응.또.딴.거.할.까
응.자	응.자
응.이렇게 돌려	응.이.렇.게.돌.려
이름이가 잘 빼 봐	이.름.이.가.잘.빼.봐
응	응
으쌰	으.쌰
응.엄마가 해 줘	응.엄.마.가.해.줘
으아 한꺼번에 할 거야	으.아.한.꺼.번.에.할.거.야
응.자	응.자
옳지	옳.지
이야 아이 뻑뻑해	이.야.아.이.뻑.뻑.해
이번에는 분홍색 고리를 빼 볼까.분홍색 고리를 뺐다.응	이.번.에.는.분.홍.색.고.리.를.빼.볼.까.분.홍.색.고.리.를.뺐.다.응
빼 볼까	빼.볼.까
이거 빼 볼까.어떻게 뺄 거야	이.거.빼.볼.까.어.떻.게.뺄.거.야
음	음
응	응
어	어
다 뺐다	다.뺐.다
또 다시 원숭이	또.다.시.원.숭.이
안녕.이름이 안녕	안.녕.이.름.이.안.녕
오 이건 뭐야	오.이.건.뭐.야
안 마실 거야	안.마.실.거.야
에이 침	에.이.침
아 먹는 거 아니에요	아.먹.는.거.아.니.에.요
이름이 목 말라 물 줄까	이.름.이.목.말.라.물.줄.까
저쪽으로 가 볼까	저.쪽.으.로.가.볼.까
응 닭	응.닭
문 닫았어	문.닫.았.어
문 열어요	문.열.어.요
어 안녕	어.안.녕
계세요	계.세.요
계세요	계.세.요
이름아	이.름.아
어.이름이 키가 컸네	어.이.름.이.키.가.컸.네
안녕.안녕	안.녕.안.녕
이름아 여기 봐 봐.이런 거 있어	이.름.아.여.기.봐.봐.이.런.거.있.어
종을 쳐요.이름이	종.을.쳐.요.이.름.이
문 닫고	문.닫.고
아	아
또 뭐 갖고 놀까	또.뭐.갖.고.놀.까
어	어
뭐.뭐	뭐.뭐
응	응
응	응
어	어
바깥으로 안 열린다.응 이렇게	바.깥.으.로.안.열.린.다.응.이.렇.게
그렇지 아유 잘하네	그.렇.지.아.유.잘.하.네
안녕	안.녕
어	어
어 그래	어.그.래
어디로 갈까	어.디.로.갈.까
우리 이름이가 좋아하는 차들이 많이 있는데	우.리.이.름.이.가.좋.아.하.는.차.들.이.많.이.있.는.데
자 타세요.어 이렇게 연결되는 거구나	자.타.세.요.어.이.렇.게.연.결.되.는.거.구.나
이렇게	이.렇.게
응 여기	응.여.기
다들 타세요	다.들.타.세.요
애니몰 트레인이래	애.니.몰.트.레.인.이.래
어.다들 타세요	어.다.들.타.세.요
아.얘네들 타는 거구나	아.얘.네.들.타.는.거.구.나
에이	에.이
응 기린이야 얘는	응.기.린.이.야.얘.는
기린이에요	기.린.이.에.요
응	응
응	응
잠깐만 네가 너무 격하게 움직여서 빠졌나 보다	잠.깐.만.네.가.너.무.격.하.게.움.직.여.서.빠.졌.나.보.다
으쌰	으.쌰
기린 기린 내려.기린 내렸어	기.린.기.린.내.려.기.린.내.렸.어
기린 내리고	기.린.내.리.고
어 이름이도 타고	어.이.름.이.도.타.고
얘는 뭐지.당근인가	얘.는.뭐.지.당.근.인.가
피망인가	피.망.인.가
이거 만지면 안 돼.응	이.거.만.지.면.안.돼.응
어	어
에헤	에.헤
이름아	이.름.아
응.그래	응.그.래
응	응
응	응
아이고 거기 있었어	아.이.고.거.기.있.었.어
으흐	으.흐
엄마	엄.마
이리로 올 거야	이.리.로.올.거.야
우이짜.어디로 가 볼까나	우.이.짜.어.디.로.가.볼.까.나
아이고	아.이.고
어.말	어.말
어.저건 또 뭐지	어.저.건.또.뭐.지
응	응
응 거기다 내려놓고 그럼 엄마가	응.거.기.다.내.려.놓.고.그.럼.엄.마.가
말 탈래요	말.탈.래.요
발이 잘 안 닿아요	발.이.잘.안.닿.아.요
엄마야	엄.마.야
아이쿠.아이쿠	아.이.쿠.아.이.쿠
애니멀 트레인이래	애.니.멀.트.레.인.이.래
아빠	아.빠
응	응
어	어
응	응
다시	다.시
못 나가요	못.나.가.요
아	아
응.엄마가 뭘 쓰고 있지	응.엄.마.가.뭘.쓰.고.있.지
기린.기린 다리가 왜 이렇게	기.린.기.린.다.리.가.왜.이.렇.게
안녕.기린이야	안.녕.기.린.이.야
미안	미.안
아이고 자.가 보자	아.이.고.자.가.보.자
어	어
어 어떤 책 볼까	어.어.떤.책.볼.까
그림책	그.림.책
곰돌이 인형이 있네	곰.돌.이.인.형.이.있.네
귀여운 곰돌이 안녕.이름이 안녕	귀.여.운.곰.돌.이.안.녕.이.름.이.안.녕
사랑해요	사.랑.해.요
응	응
곰 인형이랑 어디 갈 거예요	곰.인.형.이.랑.어.디.갈.거.예.요
응	응
안녕	안.녕
바닥이 시원하다	바.닥.이.시.원.하.다
응	응
이름이랑 놀자	이.름.이.랑.놀.자
어	어
옮겨.어디로 갈까	옮.겨.어.디.로.갈.까
곰순이 데리고	곰.순.이.데.리.고
응	응
응 곰순이 코가 아이고 코가 빨갛네	응.곰.순.이.코.가.아.이.고.코.가.빨.갛.네
어.어	어.어
응	응
이름아 잠깐만 있어 봐.이것 좀 좀 하자	이.름.아.잠.깐.만.있.어.봐.이.것.좀.좀.하.자
기차가 제일 마음에 드는 구나	기.차.가.제.일.마.음.에.드.는.구.나
자.으쨔	자.으.쨔
응	응
곰순이	곰.순.이
곰순이 코가 빨개요	곰.순.이.코.가.빨.개.요
엄마야	엄.마.야
응	응
안녕	안.녕
이렇게 해 줘 이렇게	이.렇.게.해.줘.이.렇.게
으차	으.차
응	응
아빠	아.빠
어디 보자	어.디.보.자
에이 지지.먼지가 있네	에.이.지.지.먼.지.가.있.네
이렇게 해 줘	이.렇.게.해.줘
응.응	응.응
응 거기 뭐 있어	응.거.기.뭐.있.어
밑에 뭐가 있어	밑.에.뭐.가.있.어
으아 아	으.아.아
아이스케키 하지 마	아.이.스.케.키.하.지.마
뽀뽀	뽀.뽀
말 탈까 다시	말.탈.까.다.시
말 탈까요	말.탈.까.요
어 그렇지 아이고 잘하네	어.그.렇.지.아.이.고.잘.하.네
어 저거 이름이가 타고 온 유모차지	어.저.거.이.름.이.가.타.고.온.유.모.차.지
응 저거 타고 왔지	응.저.거.타.고.왔.지
말 타고 놀아요	말.타.고.놀.아.요
파란 말 타고 어디로 갈까	파.란.말.타.고.어.디.로.갈.까
이잉	이.잉
어 이름이가 아까 끌고 다녔던 쇼핑 카트네	어.이.름.이.가.아.까.끌.고.다.녔.던.쇼.핑.카.트.네
어 또 저거	어.또.저.거
어	어
응.응	응.응
이것도 소리 나게 해 볼까.소리는 어떻게 하면 소리가 날까요	이.것.도.소.리.나.게.해.볼.까.소.리.는.어.떻.게.하.면.소.리.가.날.까.요
어	어
아	아
건전지가 다 됐나	건.전.지.가.다.됐.나
소리가 안 나네	소.리.가.안.나.네
이렇게 하고 놀자	이.렇.게.하.고.놀.자
어.어	어.어
어	어
소리가 나면 재밌 더 재밌을 텐데	소.리.가.나.면.재.밌.더.재.밌.을.텐.데
응 초록색 네모	응.초.록.색.네.모
여기는.응	여.기.는.응
거울이에요.거울.응	거.울.이.에.요.거.울.응
어 누가 있지 이름이가 있네	어.누.가.있.지.이.름.이.가.있.네
빨간 동그라미	빨.간.동.그.라.미
여기서 소리가 원래 나오나 봐	여.기.서.소.리.가.원.래.나.오.나.봐
응	응
재밌는 장난감이네.응	재.밌.는.장.난.감.이.네.응
응.숫자야	응.숫.자.야
숫자 일 이 삼 사 오 육 칠 팔	숫.자.일.이.삼.사.오.육.칠.팔
숫자가	숫.자.가
어	어
빨간 동그라미가 웃고 있네	빨.간.동.그.라.미.가.웃.고.있.네
야 이렇게 된다.얘도	야.이.렇.게.된.다.얘.도
응	응
응.이렇게.누워서 놀 수 있게 되는 거구나	응.이.렇.게.누.워.서.놀.수.있.게.되.는.거.구.나
응	응
응 어디로 갈까	응.어.디.로.갈.까
응	응
어.바깥에 볼까	어.바.깥.에.볼.까
어	어
어	어
어.또	어.또
오 침대도 있어	오.침.대.도.있.어
으차	으.차
졸려	졸.려
기저귀 좀 볼까	기.저.귀.좀.볼.까
자	자
아	아
응	응
응	응
으악	으.악
이쪽도 벗어	이.쪽.도.벗.어
발이 차갑네	발.이.차.갑.네
응	응
아우 졸려	아.우.졸.려
응 엄마.엄마 여기 있어	응.엄.마.엄.마.여.기.있.어
응	응
응	응
양말.여기다가 버릴 거야	양.말.여.기.다.가.버.릴.거.야
응	응
어	어
다시 신을까	다.시.신.을.까
다시 신을까	다.시.신.을.까
누르면 안 돼요	누.르.면.안.돼.요
응	응
어	어
엄마	엄.마
어	어
오아	오.아
아이고	아.이.고
어	어
어	어
어.이름인 발이 끝까지 안 닿아 가지고	어.이.름.인.발.이.끝.까.지.안.닿.아.가.지.고
응	응
응.카트 밀까	응.카.트.밀.까
우와.우와	우.와.우.와
응	응
아유 이거는 이거 뭐야	아.유.이.거.는.이.거.뭐.야
어	어
응 뭘 하지요	응.뭘.하.지.요
응	응
이거를 이렇게 돌리면은 여기서 불이 나와	이.거.를.이.렇.게.돌.리.면.은.여.기.서.불.이.나.와
엄마가 집에서 요리할 때	엄.마.가.집.에.서.요.리.할.때
응	응
그렇지	그.렇.지
헤헤헤헤헤	헤.헤.헤.헤.헤
어	어
응.냉장고	응.냉.장.고
사고 났다.우와	사.고.났.다.우.와
이름이 이쪽으로	이.름.이.이.쪽.으.로
에잉	에.잉
에이	에.이
기차가 제일 재밌지	기.차.가.제.일.재.밌.지
컴 온	컴.온
응	응
문 닫아요	문.닫.아.요
오잉	오.잉
응	응
자.응	자.응
눈이네	눈.이.네
자동차에 눈이 달려 있네	자.동.차.에.눈.이.달.려.있.네
이럇 어	이.럇.어
엥 이상하다	엥.이.상.하.다
으쟈.옳지 아이고 잘하네	으.쟈.옳.지.아.이.고.잘.하.네
으쌰 하나 둘 하나 둘	으.쌰.하.나.둘.하.나.둘
하나 둘 하나 둘	하.나.둘.하.나.둘
응	응
응.노 동그란 거	응.노.동.그.란.거
아빠.아빠	아.빠.아.빠
응	응
우와 상자	우.와.상.자
어.애기	어.애.기
애기가 누워 있네	애.기.가.누.워.있.네
응	응
아빠.아빠는 아니구	아.빠.아.빠.는.아.니.구
여기 올라가 봤어	여.기.올.라.가.봤.어
여기 올라가 볼까	여.기.올.라.가.볼.까
와	와
와	와
자.이름이 물 좀 마실까 올라간 김에	자.이.름.이.물.좀.마.실.까.올.라.간.김.에
물 좀 마셔요	물.좀.마.셔.요
반가워요	반.가.워.요
아이고 덥다	아.이.고.덥.다
응.딴	응.딴
이 블록 같은 건 없나	이.블.록.같.은.건.없.나
이름이 책 갖다 줄까	이.름.이.책.갖.다.줄.까
팝업책이네	팝.업.책.이.네
으아	으.아
잘 자요.심술꾸러기	잘.자.요.심.술.꾸.러.기
누가 심술꾸러기야	누.가.심.술.꾸.러.기.야
목말라	목.말.라
덥지	덥.지
응	응
어.저기 뭐가 있지	어.저.기.뭐.가.있.지
벽이 있구 저쪽에 저거는 청소기가 아닌 것 같은데 뭘까나	벽.이.있.구.저.쪽.에.저.거.는.청.소.기.가.아.닌.것.같.은.데.뭘.까.나
응 컴퓨터도 있고	응.컴.퓨.터.도.있.고
응	응
으아 이거 또	으.아.이.거.또
응	응
응	응
어떻게 하면 요거를 딱 고정시킬 수 있을까	어.떻.게.하.면.요.거.를.딱.고.정.시.킬.수.있.을.까
집게 같은 게 없을까나	집.게.같.은.게.없.을.까.나
에잉	에.잉
어 저기 저기 의자도 있고	어.저.기.저.기.의.자.도.있.고
어.이거 볼까	어.이.거.볼.까
어.이게 뭐지	어.이.게.뭐.지
털모자	털.모.자
오 다 입었다	오.다.입.었.다
음 잠옷 입고 있네	음.잠.옷.입.고.있.네
어 털모자를 쓰고 있어요	어.털.모.자.를.쓰.고.있.어.요
어.여기 구멍에도 넣어 볼까	어.여.기.구.멍.에.도.넣.어.볼.까
으잉.이거 먹으면 안 돼요	으.잉.이.거.먹.으.면.안.돼.요
더워	더.워
응	응
어	어
이거 봐	이.거.봐
동물원.오	동.물.원.오
어 곰	어.곰
곰이 웃고 있어	곰.이.웃.고.있.어
응	응
어 목이 길지	어.목.이.길.지
기린 목이 길지	기.린.목.이.길.지
잘 자요	잘.자.요
어.저거 다시 저기로 내려갈까	어.저.거.다.시.저.기.로.내.려.갈.까
내려가 볼까요	내.려.가.볼.까.요
어	어
응.이거 줘 다시	응.이.거.줘.다.시
자	자
엥	엥
이름이 신발	이.름.이.신.발
이름이 신발	이.름.이.신.발
신발 신을 거야 이름이	신.발.신.을.거.야.이.름.이
야 이럴 수가	야.이.럴.수.가
응	응
어 거기	어.거.기
거기다 신는 거 맞아 이거	거.기.다.신.는.거.맞.아.이.거
이쪽이지요	이.쪽.이.지.요
신발 신고 어디 갈 거야 이름	신.발.신.고.어.디.갈.거.야.이.름
오.신발 속에 꼬마 둘이 그려져 있네	오.신.발.속.에.꼬.마.둘.이.그.려.져.있.네
응.이렇게	응.이.렇.게
신발	신.발
어	어
이쪽 신발.어	이.쪽.신.발.어
신발 또 신을 거예요	신.발.또.신.을.거.예.요
신을 거야	신.을.거.야
응	응
신어 줘요 신겨 줘요	신.어.줘.요.신.겨.줘.요
자	자
이거 이쪽 맞냐	이.거.이.쪽.맞.냐
에이	에.이
안 신어	안.신.어
이건 뭐지 오른팔	이.건.뭐.지.오.른.팔
응.이리 와	응.이.리.와
으차	으.차
신발 신지 말고 다니자	신.발.신.지.말.고.다.니.자
어	어
응	응
에헤	에.헤
자	자
이름아 얌전히 앉아 있어야지.앉아 있어야지 신발을 신지요	이.름.아.얌.전.히.앉.아.있.어.야.지.앉.아.있.어.야.지.신.발.을.신.지.요
에잇	에.잇
자.물	자.물
으잉	으.잉
응.엄마 신어	응.엄.마.신.어
엄마 신을까.응.고마워	엄.마.신.을.까.응.고.마.워
응	응
이름이.이름이 신겨 줘	이.름.이.이.름.이.신.겨.줘
이름이 신겨 줘	이.름.이.신.겨.줘
그러니까 신기 전에 일어나면은 엄마가 못 신겨 줘	그.러.니.까.신.기.전.에.일.어.나.면.은.엄.마.가.못.신.겨.줘
자.나머지 한 짝은 어디 갔어	자.나.머.지.한.짝.은.어.디.갔.어
응	응
어 으쌰	어.으.쌰
이름아.잠깐 누워 볼까	이.름.아.잠.깐.누.워.볼.까
으차.으자자자자자자자자	으.차.으.자.자.자.자.자.자.자.자
자 여기다가 이이이잉	자.여.기.다.가.이.이.이.잉
에잉 졸려	에.잉.졸.려
아.아야	아.아.야
응	응
여기선 신발을 벗자	여.기.선.신.발.을.벗.자
어.엄마가 이상한 거 쓰고 있어	어.엄.마.가.이.상.한.거.쓰.고.있.어
으차	으.차
으응	으.응
오.이게 누구야	오.이.게.누.구.야
응	응
로보트도 있고요	로.보.트.도.있.고.요
로보트 모양의 시계	로.보.트.모.양.의.시.계
우와.시계.멋지다 시계는 안 가는 시계네	우.와.시.계.멋.지.다.시.계.는.안.가.는.시.계.네
시계	시.계
어	어
응	응
어.전화 왔나 보다	어.전.화.왔.나.보.다
시계 어우 달력	시.계.어.우.달.력
전화가 어디서 오나용	전.화.가.어.디.서.오.나.용
전화 왔다	전.화.왔.다
아빠한테 전화해 볼까	아.빠.한.테.전.화.해.볼.까
서방님	서.방.님
아이고 아이고 이름아	아.이.고.아.이.고.이.름.아
아이고	아.이.고
이름아 이제 다 놀았어.나가고 싶어	이.름.아.이.제.다.놀.았.어.나.가.고.싶.어
우왕 이름아	우.왕.이.름.아
나가고 싶어	나.가.고.싶.어
밖에 나가고 싶어	밖.에.나.가.고.싶.어
어	어
어.나가요	어.나.가.요
으차	으.차
으쌰.아이쿠	으.쌰.아.이.쿠
답답해요	답.답.해.요
나가고 싶어요	나.가.고.싶.어.요
응	응
어.유모차 타고 갈 거야	어.유.모.차.타.고.갈.거.야
응	응
응.응	응.응
아유 어 에 하는 거 보고 싶어	아.유.어.에.하.는.거.보.고.싶.어
응.이건 아니야	응.이.건.아.니.야
이건 아니에요	이.건.아.니.에.요
어	어
아이고야	아.이.고.야
어.벗을 거야	어.벗.을.거.야
네	네
응	응
아이고	아.이.고
으차	으.차
으차	으.차
또 어디 가냐고	또.어.디.가.냐.고
안아 줘	안.아.줘
책 좋아하지	책.좋.아.하.지
재밌는 책들 많은데 여기.놀 게 많아 가지고	재.밌.는.책.들.많.은.데.여.기.놀.게.많.아.가.지.고
이름이 여기 좋아하는 동물 되게 많이 있다	이.름.이.여.기.좋.아.하.는.동.물.되.게.많.이.있.다
아이구 집에 없는 게 많이 있네	아.이.구.집.에.없.는.게.많.이.있.네
오 기린이	오.기.린.이
다리 길어	다.리.길.어
어 기린 체조한다.어	어.기.린.체.조.한.다.어
응	응
이거 말	이.거.말
이거 뭐예요	이.거.뭐.예.요
기린이에요	기.린.이.에.요
기린은 어 기린인지 어떻게 알았어요	기.린.은.어.기.린.인.지.어.떻.게.알.았.어.요
응	응
그건 뭐예요	그.건.뭐.예.요
코끼리예요	코.끼.리.예.요
그렇구나.원숭이같이 생겼다 근데 꼭	그.렇.구.나.원.숭.이.같.이.생.겼.다.근.데.꼭
아저씨야	아.저.씨.야
그거 누가 했냐고요	그.거.누.가.했.냐.고.요
안 돼	안.돼
에잉.한번 볼까 왜 안 되나	에.잉.한.번.볼.까.왜.안.되.나
되게 신기하다.이렇게 연결하는 건가 보다	되.게.신.기.하.다.이.렇.게.연.결.하.는.건.가.보.다
이렇게	이.렇.게
아닌가	아.닌.가
이렇게	이.렇.게
이거 원숭이	이.거.원.숭.이
응	응
얘네 다 태우고 놀러 갈까	얘.네.다.태.우.고.놀.러.갈.까
여기 되게 작은 미끄럼틀도 있다	여.기.되.게.작.은.미.끄.럼.틀.도.있.다
이름이 이제 미끄럼틀 안 타지	이.름.이.이.제.미.끄.럼.틀.안.타.지
뭘 좋아해요	뭘.좋.아.해.요
아 미끄럼틀 좋아해요	아.미.끄.럼.틀.좋.아.해.요
미끄럼틀 이렇게 작은 것도 타요 이름이	미.끄.럼.틀.이.렇.게.작.은.것.도.타.요.이.름.이
응	응
잘 타는구나	잘.타.는.구.나
그네 있냐구요	그.네.있.냐.구.요
그네 타고 싶어요	그.네.타.고.싶.어.요
그네가 있나 없나	그.네.가.있.나.없.나
그네는 없네	그.네.는.없.네
그네는 없네	그.네.는.없.네
이것두 있어.재밌다 이거	이.것.두.있.어.재.밌.다.이.거
제일 큰 것부터 껴 볼까요 그럼	제.일.큰.것.부.터.껴.볼.까.요.그.럼
안 돼요	안.돼.요
할 수 있어요	할.수.있.어.요
와 했다	와.했.다
잘했어	잘.했.어
작은 거부터 할 거예요	작.은.거.부.터.할.거.예.요
응	응
오	오
오.어린이집에서 배웠어요	오.어.린.이.집.에.서.배.웠.어.요
어 집에서 해요	어.집.에.서.해.요
잘하는구나	잘.하.는.구.나
여러가지 색깔이 있네	여.러.가.지.색.깔.이.있.네
어	어
우와 완성	우.와.완.성
잘했어	잘.했.어
엄마두 해 봐요	엄.마.두.해.봐.요
이거 집에 있는 거랑 똑같다	이.거.집.에.있.는.거.랑.똑.같.다
응	응
삼촌이랑 같이 놀아요	삼.촌.이.랑.같.이.놀.아.요
응	응
어	어
아 이모랑 삼촌이랑 갔어요	아.이.모.랑.삼.촌.이.랑.갔.어.요
응 맞아요	응.맞.아.요
이렇게 할까 엄마가.어.안 맞아	이.렇.게.할.까.엄.마.가.어.안.맞.아
도와주세요	도.와.주.세.요
맞아요	맞.아.요
응	응
안 맞아	안.맞.아
그냥 할까	그.냥.할.까
도와줘	도.와.줘
잘 살살 하면 돼	잘.살.살.하.면.돼
살살.나가자 이렇게	살.살.나.가.자.이.렇.게
해 봐요	해.봐.요
잘했어요	잘.했.어.요
얘 먼저 해 볼까요	얘.먼.저.해.볼.까.요
이렇게	이.렇.게
오	오
잘했어.오우 케이크 같아	잘.했.어.오.우.케.이.크.같.아
선물이야	선.물.이.야
어	어
뭐라구요	뭐.라.구.요
사람 같아요	사.람.같.아.요
사람 같구나	사.람.같.구.나
이렇게 딱 올려 놓으면 진짜 사람 같네	이.렇.게.딱.올.려.놓.으.면.진.짜.사.람.같.네
에이.아파요 이렇게 하면	에.이.아.파.요.이.렇.게.하.면
내려와.네	내.려.와.네
응	응
이렇게	이.렇.게
기린이 체조한다	기.린.이.체.조.한.다
그치	그.치
맨날 서 있으면 다리 아프겠네	맨.날.서.있.으.면.다.리.아.프.겠.네
기린 양말이 색색깔이야	기.린.양.말.이.색.색.깔.이.야
그치	그.치
더 길게 만들 거예요	더.길.게.만.들.거.예.요
오우 사람이 꼭대기로 올라갔네	오.우.사.람.이.꼭.대.기.로.올.라.갔.네
그거 누구예요	그.거.누.구.예.요
아저씨	아.저.씨
오 잡았어	오.잡.았.어
응	응
우와 멋지다	우.와.멋.지.다
어.여기 보고 있는 거예요	어.여.기.보.고.있.는.거.예.요
이름아.어우.왜 떨어 왜 넘어트렸어요	이.름.아.어.우.왜.떨.어.왜.넘.어.트.렸.어.요
알았어요.같이 할 다시 할 거예요	알.았.어.요.같.이.할.다.시.할.거.예.요
같이 뭐라구요	같.이.뭐.라.구.요
같이 껴.같이 끼라고	같.이.껴.같.이.끼.라.고
그래	그.래
무슨 색 줄까요	무.슨.색.줄.까.요
검정색 여기 있습니다	검.정.색.여.기.있.습.니.다
